YEAR,MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL_TYPE,FuelConsCity,FuelConsHwy,FuelConsComb,MPG,CO2,MPGCity,MPGHwy
2018,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307,19,26
2018,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.6,11.6,13.8,20,324,18,24
2018,CHEVROLET,SILVERADO eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13.0,22,304,20,25
2018,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,8.8,6.6,7.8,36,184,32,43
2018,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.4,6.3,7.4,38,174,34,45
2018,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.3,7.0,8.3,34,193,30,40
2018,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9.2,6.8,8.1,35,190,31,41
2018,CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,AS6,X,8.8,6.6,7.8,36,184,32,43
2018,CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,M6,X,8.4,6.3,7.4,38,174,34,45
2018,CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4,AS6,X,9.3,7.0,8.3,34,193,30,40
2018,CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4,M5,X,9.2,6.8,8.1,35,190,31,41
2018,CHEVROLET,SPARK,SUBCOMPACT,1.4,4,AV,X,7.8,6.2,7.1,40,167,36,45
2018,CHEVROLET,SPARK,SUBCOMPACT,1.4,4,M5,X,8.0,6.0,7.1,40,166,35,47
2018,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,15.3,10.9,13.3,21,313,18,26
2018,CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.3,10.9,13.3,21,312,18,26
2018,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310,19,26
2018,CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310,19,26
2018,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,AS9,X,12.9,8.7,11.0,26,258,22,32
2018,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,AS9,X,13.7,9.4,11.8,24,276,21,30
2018,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,194,30,39
2018,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.2,7.1,8.2,34,194,31,40
2018,CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4,AS6,X,9.9,7.8,8.9,32,210,28,36
2018,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242,23,36
2018,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242,23,36
2018,CHRYSLER,300,FULL-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289,19,30
2018,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258,22,32
2018,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258,22,32
2018,CHRYSLER,PACIFICA,MINIVAN,3.6,6,A9,X,12.9,8.4,10.9,26,259,22,34
2018,CHRYSLER,PACIFICA  (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249,23,34
2018,DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242,23,36
2018,DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289,19,30
2018,DODGE,CHALLENGER GT AWD,MID-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258,22,32
2018,DODGE,CHALLENGER GT AWD FFV,MID-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258,22,32
2018,DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.7,9.0,11.6,24,271,21,31
2018,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.7,9.0,11.6,24,271,21,31
2018,DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242,23,36
2018,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242,23,36
2018,DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.6,9.7,12.9,22,302,18,29
2018,DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289,19,30
2018,DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258,22,32
2018,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258,22,32
2018,DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.0,10.1,13.3,21,312,18,28
2018,DODGE,DURANGO AWD,SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,265,22,29
2018,DODGE,DURANGO AWD,SUV - STANDARD,5.7,8,A8,X,16.7,10.9,14.1,20,331,17,26
2018,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,276,21,30
2018,DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.2,11.1,25,261,22,31
2018,DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23,284,20,30
2018,DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,10.0,12.4,23,292,19,28
2018,FIAT,124 SPIDER,TWO-SEATER,1.4,4,A6,X,9.3,6.5,8.0,35,187,30,43
2018,FIAT,124 SPIDER,TWO-SEATER,1.4,4,M6,X,9.0,6.7,7.9,36,185,31,42
2018,FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,X,10.7,7.9,9.4,30,221,26,36
2018,FIAT,500X,SUV - SMALL,1.4,4,M6,X,9.5,7.1,8.4,34,197,30,40
2018,FIAT,500X,SUV - SMALL,2.4,4,A9,X,10.7,7.8,9.4,30,220,26,36
2018,FIAT,500X AWD,SUV - SMALL,2.4,4,A9,X,11.0,8.0,9.7,29,226,26,35
2018,FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,X,5.7,6.2,5.9,48,138,49,45
2018,FORD,ECOSPORT,SUV - SMALL,1.0,3,AS6,X,8.6,8.1,8.4,34,195,33,35
2018,FORD,ECOSPORT AWD,SUV - SMALL,2.0,4,AS6,X,10.2,8.0,9.3,30,217,28,35
2018,FORD,EDGE,SUV - SMALL,2.0,4,AS6,X,11.5,8.0,9.9,29,233,25,35
2018,FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4,AS6,X,11.3,8.0,9.9,29,231,25,35
2018,FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,13.5,9.1,11.5,25,270,21,31
2018,FORD,EDGE AWD,SUV - SMALL,2.0,4,AS6,X,11.9,8.7,10.5,27,246,24,32
2018,FORD,EDGE AWD,SUV - SMALL,2.7,6,AS6,X,13.8,9.8,12.0,24,282,20,29
2018,FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,14.2,10.2,12.4,23,291,20,28
2018,FORD,ESCAPE,SUV - SMALL,1.5,4,AS6,X,10.2,7.8,9.1,31,214,28,36
2018,FORD,ESCAPE FFV,SUV - SMALL,2.5,4,AS6,X,11.1,8.1,9.7,29,229,25,35
2018,FORD,ESCAPE AWD,SUV - SMALL,1.5,4,AS6,X,10.7,8.3,9.6,29,226,26,34
2018,FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.5,8.8,10.3,27,241,25,32
2018,FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS10,X,13.8,10.7,12.4,23,291,20,26
2018,FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS10,X,14.9,11.2,13.2,21,311,19,25
2018,FORD,EXPLORER,SUV - STANDARD,2.3,4,AS6,X,12.6,8.6,10.8,26,254,22,33
2018,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.9,9.8,12.1,23,283,20,29
2018,FORD,EXPLORER AWD,SUV - STANDARD,2.3,4,AS6,X,13.1,9.2,11.4,25,267,22,31
2018,FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13.0,22,305,19,26
2018,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.5,10.6,12.7,22,299,19,27
2018,FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,11.9,9.0,10.6,27,249,24,31
2018,FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,9.4,10.8,26,253,24,30
2018,FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.3,9.4,11.0,26,258,23,30
2018,FORD,F-150,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.3,9.4,11.0,26,259,23,30
2018,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.3,9.3,10.9,26,257,23,30
2018,FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.4,9.8,11.2,25,263,23,29
2018,FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.4,9.8,11.2,25,263,23,29
2018,FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.1,12.0,24,282,21,28
2018,FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.7,12.3,23,288,21,26
2018,FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.7,11.2,12.5,23,293,21,25
2018,FORD,F-150,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.1,10.4,12.4,23,292,20,27
2018,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,13.9,10.2,12.2,23,286,20,28
2018,FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.2,13.1,22,308,19,25
2018,FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.2,13.1,22,307,19,25
2018,FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.8,13.8,20,324,19,24
2018,FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.8,13.8,20,323,19,24
2018,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.6,9.8,11.3,25,265,22,29
2018,FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.1,10.2,11.8,24,277,22,28
2018,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.1,9.8,11.6,24,272,22,29
2018,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.0,10.3,11.8,24,277,22,27
2018,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.9,10.2,11.7,24,273,22,28
2018,FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.8,10.7,12.4,23,291,20,26
2018,FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.8,10.7,12.4,23,291,20,26
2018,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.3,10.5,12.6,22,295,20,27
2018,FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.4,10.6,12.7,22,297,20,27
2018,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.5,11.2,13.0,22,305,19,25
2018,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.6,10.9,13.0,22,304,19,26
2018,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.1,11.0,13.3,21,311,19,26
2018,FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.8,13.8,20,324,19,24
2018,FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.1,11.8,13.8,20,324,19,24
2018,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.7,12.4,14.2,20,334,18,23
2018,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,16.1,12.4,14.5,19,339,18,23
2018,FORD,F-150 RAPTOR 4WD,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,15.6,13.2,14.5,19,339,18,21
2018,FORD,FIESTA,SUBCOMPACT,1.6,4,AM6,X,8.6,6.4,7.6,37,179,33,44
2018,FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.6,6.7,7.8,36,182,33,42
2018,FORD,FIESTA ST,SUBCOMPACT,1.6,4,M6,X,9.0,7.1,8.2,34,192,31,40
2018,FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,14.7,10.2,12.7,22,298,19,28
2018,FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,14.7,10.7,12.9,22,303,19,26
2018,FORD,FLEX AWD GTDI,SUV - STANDARD,3.5,6,AS6,X,15.7,11.2,13.7,21,322,18,25
2018,FORD,FOCUS,COMPACT,1.0,3,AS6,X,8.5,6.2,7.5,38,176,33,45
2018,FORD,FOCUS,COMPACT,1.0,3,M6,X,7.9,5.9,7.0,40,164,36,48
2018,FORD,FOCUS,COMPACT,2.0,4,AM6,X,8.9,6.1,7.7,37,179,32,46
2018,FORD,FOCUS,COMPACT,2.0,4,AS6,X,9.8,7.0,8.5,33,200,29,40
2018,FORD,FOCUS,COMPACT,2.0,4,M5,X,9.5,6.9,8.3,34,196,30,41
2018,FORD,FOCUS ST,MID-SIZE,2.0,4,M6,X,10.5,7.8,9.3,30,219,27,36
2018,FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.0,7.0,8.7,32,203,28,40
2018,FORD,FUSION,MID-SIZE,2.0,4,AS6,X,11.2,7.6,9.6,29,225,25,37
2018,FORD,FUSION,MID-SIZE,2.5,4,A6,X,11.3,7.4,9.5,30,223,25,38
2018,FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,11.8,8.2,10.2,28,238,24,34
2018,FORD,FUSION AWD,MID-SIZE,2.7,6,AS6,X,13.8,9.1,11.8,24,277,20,31
2018,FORD,FUSION HYBRID,MID-SIZE,2.0,4,AV,X,5.5,5.6,5.6,50,131,51,50
2018,FORD,MUSTANG,SUBCOMPACT,2.3,4,AS10,X,11.0,7.4,9.4,30,219,26,38
2018,FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4,AS10,X,11.8,8.1,10.1,28,236,24,35
2018,FORD,MUSTANG,SUBCOMPACT,2.3,4,M6,X,11.0,7.7,9.5,30,222,26,37
2018,FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4,M6,X,11.8,8.4,10.3,27,240,24,34
2018,FORD,MUSTANG,SUBCOMPACT,5.0,8,AS10,X,15.1,9.3,12.5,23,291,19,30
2018,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.5,9.5,12.8,22,300,18,30
2018,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,AS10,X,11.8,8.2,10.2,28,238,24,34
2018,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,M6,X,11.8,8.4,10.3,27,240,24,34
2018,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8,AS10,X,15.5,10.0,13.1,22,305,18,28
2018,FORD,T-150 WAGON,VAN - PASSENGER,3.5,6,AS6,X,16.2,12.8,14.7,19,345,17,22
2018,FORD,T-150 WAGON,VAN - PASSENGER,3.7,6,AS6,X,16.8,13.1,15.1,19,354,17,22
2018,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,13.1,8.7,11.1,25,260,22,32
2018,FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,14.6,10.0,12.5,23,294,19,28
2018,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13.6,9.9,12.4,23,291,21,28
2018,FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.7,10.4,27,244,24,32
2018,FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.3,8.8,10.7,26,251,23,32
2018,GENESIS,G80 AWD,FULL-SIZE,3.8,6,AS8,X,13.4,9.6,11.7,24,276,21,29
2018,GMC,ACADIA,SUV - STANDARD,2.5,4,A6,X,11.0,9.2,10.2,28,239,26,31
2018,GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,13.1,9.4,11.4,25,268,22,30
2018,GMC,ACADIA AWD,SUV - STANDARD,2.5,4,A6,X,11.2,9.4,10.4,27,243,25,30
2018,GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,13.5,9.5,11.7,24,275,21,30
2018,GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,253,23,31
2018,GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,251,24,31
2018,GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274,21,29
2018,GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.6,9.8,11.3,25,266,22,29
2018,GMC,CANYON 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,14.1,10.0,12.2,23,288,20,28
2018,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,10.0,11.8,24,278,21,28
2018,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,298,19,27
2018,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,298,19,27
2018,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.9,10.9,13.1,22,307,19,26
2018,GMC,SIERRA eASSIST,PICKUP TRUCK - STANDARD,5.3,8,A8,X,13.4,10.0,11.8,24,278,21,28
2018,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.1,10.6,12.5,23,294,20,27
2018,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307,19,26
2018,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307,19,26
2018,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.6,11.6,13.8,20,324,18,24
2018,GMC,SIERRA eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13.0,22,304,20,25
2018,GMC,TERRAIN,SUV - SMALL,1.5,4,A9,X,9.2,7.9,8.6,33,201,31,36
2018,GMC,TERRAIN AWD,SUV - SMALL,1.5,4,A9,X,9.6,8.3,9.0,31,210,29,34
2018,GMC,YUKON,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,GMC,YUKON FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310,19,26
2018,GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310,19,26
2018,GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
2018,GMC,YUKON XL FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305,19,27
