Day,High,Low
126,78.1,51.1
127,78.1,45.0
128,75.0,48.0
129,80.1,54.0
130,82.0,55.9
131,80.1,57.0
132,81.0,54.0
133,72.0,52.0
134,84.0,55.0
135,90.0,64.9
136,73.9,57.9
137,77.0,55.9
138,81.0,61.0
139,71.1,57.9
140,78.1,59.0
141,72.0,57.9
142,78.1,63.0
143,80.1,52.0
144,81.0,53.1
145,84.9,55.0
146,89.1,64.9
147,87.1,64.0
148,93.9,66.9
149,97.0,69.1
150,93.0,73.9
151,84.0,69.1
152,88.0,66.9
153,84.0,52.0
154,80.1,54.0
155,82.0,52.0
156,77.0,59.0
157,87.1,51.1
158,79.0,55.0
159,70.0,66.0
160,82.9,66.9
161,81.0,63.0
162,68.0,63.0
163,77.0,63.0
164,80.1,69.1
165,81.0,55.0
166,81.0,60.1
167,89.1,66.9
168,90.0,72.0
169,91.9,73.9
170,91.0,71.1
171,89.1,70.0
172,82.9,69.1
173,73.0,64.9
174,75.9,63.0
175,73.0,64.0
176,82.0,61.0
177,80.1,64.9
178,79.0,66.9
179,81.0,62.1
180,84.9,66.9
181,89.1,73.0
182,90.0,72.0
183,90.0,71.1
184,84.9,68.0
185,91.0,72.0
186,91.0,70.0
187,84.0,66.9
188,77.0,53.1
189,77.0,53.1
190,84.0,61.0
191,87.1,70.0
192,89.1,60.1
193,82.0,60.1
194,84.0,61.0
195,86.0,63.0
196,82.9,66.9
197,86.0,71.1
198,86.0,62.1
199,82.9,51.1
200,80.1,55.9
201,84.0,66.0
202,84.0,66.0
203,75.9,66.9
204,79.0,60.1
205,75.9,64.0
206,82.9,61.0
207,82.9,63.0
208,80.1,55.0
209,75.9,53.1
210,77.0,52.0
211,68.0,57.9
212,73.0,57.9
213,71.1,57.0
214,80.1,61.0
215,82.9,62.1
216,84.9,66.0
217,87.1,69.1
218,89.1,71.1
219,86.0,66.0
220,82.9,66.9
221,82.9,60.1
222,73.9,64.9
223,86.0,66.9
224,82.0,59.0
225,84.0,60.1
226,84.9,61.0
227,84.0,64.9
228,75.9,69.1
229,82.9,68.0
230,79.0,64.0
231,81.0,60.1
232,82.9,61.0
233,82.9,66.9
234,78.1,61.0
235,75.0,52.0
236,78.1,55.9
237,75.0,60.1
238,81.0,68.0
239,90.0,73.0
240,89.1,72.0
241,89.1,68.0
242,80.1,57.9
243,75.0,55.9
244,86.0,60.1
245,87.1,69.1
246,88.0,70.0
247,91.9,71.1
248,93.0,73.0
249,91.9,71.1
250,84.9,66.0
251,70.0,59.0
252,63.0,55.9
253,64.0,55.0
254,73.9,50.0
255,77.0,50.0
256,78.1,52.0
257,82.0,53.1
258,84.9,53.1
259,87.1,55.9
260,88.0,62.1
261,91.0,62.1
262,91.0,62.1
263,90.0,63.0
264,93.0,69.1
265,81.0,53.1
266,64.9,45.0
267,75.9,54.0
268,75.0,55.9
269,80.1,55.0
270,68.0,46.9
271,66.0,48.9
272,73.9,39.9
273,60.1,41.0
274,81.0,52.0
275,82.9,57.9
276,73.0,60.1
277,87.1,66.0
278,71.1,51.1
279,80.1,55.9
280,80.1,57.9
281,82.9,57.9
282,86.0,66.0
283,84.9,68.0
284,73.0,46.0
285,54.0,33.1
286,45.0,32.0
287,52.0,37.0
288,62.1,43.0
289,48.0,30.0
290,55.9,30.0
291,52.0,28.0
292,57.0,28.9
293,54.0,39.0
294,57.9,23.0
295,59.0,24.1
296,64.0,32.0
297,55.9,28.0
298,52.0,28.9
299,52.0,33.1
300,46.0,39.9
301,54.0,37.0
302,55.9,37.9
303,57.0,37.0
304,66.9,41.0
305,71.1,44.1
306,44.1,36.0
307,48.0,30.0
308,53.1,28.9
309,57.0,44.1
310,55.0,44.1
311,50.0,34.0
312,41.0,30.9
313,43.0,30.9
314,35.1,18.0
315,32.0,18.0
316,45.0,24.1
317,39.0,23.0
318,26.1,12.9
319,32.0,14.0
320,33.1,27.0
321,42.1,30.9
322,37.9,33.1
323,37.9,33.1
324,37.0,30.0
325,35.1,27.0
326,37.0,26.1
327,44.1,30.0
328,48.9,36.0
329,52.0,35.1
330,50.0,33.1
331,33.1,21.9
332,27.0,19.0
333,30.9,14.0
334,43.0,28.0
335,39.9,28.0
336,55.9,39.0
337,48.9,32.0
338,37.0,28.9
339,32.0,26.1
340,33.1,26.1
341,35.1,10.9
342,28.9,10.9
343,27.0,12.0
344,33.1,14.0
345,26.1,18.0
346,41.0,21.9
347,45.0,24.1
348,43.0,28.9
349,46.0,35.1
350,42.1,28.0
351,48.0,28.0
352,39.9,21.9
353,45.0,21.9
354,51.1,30.9
355,50.0,37.0
356,37.0,28.0
357,39.0,28.0
358,37.9,23.0
359,36.0,23.0
360,48.0,21.9
361,46.9,23.0
362,54.0,39.9
363,46.9,26.1
364,28.9,21.0
365,36.0,21.0
