Name,Team,Base_Salary,Signing_Bonus,Other_Bonus,Total_Salary,Cap_Value,Percentage,Rating,SqrtRating
"   Connor, Dan ",Panthers ,295000,788384,0,1083384,492096,0,0.75,0.8660
"   Cooper, Stephen ",Chargers ,2000000,1500000,3600,2003600,1833012,0.179676582,13.31,3.6483
"   Costanzo, Blake ",Bills ,370000,0,0,370000,370000,0,2.94,1.7146
"   Crowder, Channing ",Dolphins ,1000000,766500,5640,1005640,1197265,0.56083688,17.81,4.2202
"   Culberson, Quinton ",Rams ,370000,0,4680,374680,374680,1.24906587,8.38,2.8948
"   Curry, Donte' ",Panthers ,730000,0,0,730000,601176,0,2.06,1.4353
"   Dacus, Weston ",Chiefs ,295000,0,0,295000,242941,0,0.88,0.9381
"   Daniels, Torrance 'Tank' ",Eagles ,445000,0,4320,449320,445000,0.961452862,2.25,1.5000
"   Dansby, Karlos ",Cardinals ,8065000,0,1680,8066680,8066680,0.020826412,22.12,4.7032
"   Davis, Andra ",Browns ,1675000,300000,1225000,3200000,3600000,38.28125,12.00,3.4641
"   Davis, Bruce ",Steelers ,295000,505626,0,800626,463542,0,0.00,0.0000
"   Davis, James ",Colts ,295000,0,6720,301720,295000,2.227230545,3.25,1.8028
"   Davis, Thomas ",Panthers ,650000,0,1110000,1760000,2196250,63.06818182,19.75,4.4441
"   DeOssie, Zak ",Giants ,370000,442500,3960,373960,484585,1.058936785,1.75,1.3229
"   Diggs, Na'il ",Panthers ,800000,2000000,150000,950000,1400000,15.78947368,8.19,2.8618
"   DiGiorgio, John ",Bills ,445000,10000,4920,449920,453254,1.093527738,0.56,0.7483
"   Diles, Zach ",Texans ,370000,56915,6720,376720,390948,1.78381822,8.69,2.9479
"   Dizon, Jordan ",Lions ,295000,1533333,453000,2281333,678333,19.85681179,4.75,2.1794
"   Dobbins, Tim ",Chargers ,445000,168000,6120,451120,493120,1.356623515,9.38,3.0627
"   Draft, Chris ",Rams ,830000,1300000,100000,930000,1363333,10.75268817,6.06,2.4617
"   Dunbar, Jo-Lonn ",Saints ,295000,0,0,295000,295000,0,3.38,1.8385
"   Durant, Justin ",Jaguars ,370000,1302000,423720,793720,700780,53.38406491,11.81,3.4366
"   Edwards, Donnie ",Chiefs ,3250000,2000000,502520,3752520,4835852,13.39153422,4.56,2.1354
"   Ekejiuba, Isaiah ",Raiders ,927000,0,5880,932880,932880,0.630306149,2.62,1.6186
"   Ellison, Keith ",Bills ,445000,80250,5280,450280,477030,1.172603713,10.44,3.2311
"   Evans, Troy ",Saints ,605000,100000,10000,615000,665000,1.62601626,3.31,1.8193
"   Farrior, James ",Steelers ,1800000,5000000,2400,6802400,4061150,0.035281665,17.06,4.1304
"   Fincher, Alfred ",Redskins ,520000,0,0,520000,520000,0,0.62,0.7874
"   Fletcher, London ",Redskins ,1240000,10500000,100000,1340000,3440000,7.462686567,18.62,4.3151
"   Foote, Larry ",Steelers ,2340000,1590000,202880,2542880,3390380,7.978355251,7.19,2.6814
"   Fowler, Ryan ",Titans ,1750000,3000000,6600,1756600,2506600,0.375725834,3.69,1.9209
"   Fox, Keyaron ",Steelers ,605000,40000,4800,649800,489800,0.738688827,4.19,2.0469
"   Frazier, Andre ",Steelers ,520000,40000,205280,765280,565280,26.82416893,1.25,1.1180
"   Fujita, Scott ",Saints ,2000000,4000000,153120,2153120,3003120,7.111540462,11.62,3.4088
"   Gaither, Omar ",Eagles ,445000,140500,4440,449440,484565,0.987896048,12.62,3.5525
"   Gardner, Gilbert ",Lions ,605000,40000,4320,649320,489320,0.665311403,0.00,0.0000
"   Gocong, Chris ",Eagles ,445000,775000,5880,450880,644630,1.304116395,15.88,3.9850
"   Goff, Jonathan ",Giants ,295000,153985,0,448985,333496,0,0.38,0.6164
"   Gooden, Tavares ",Ravens ,295000,610100,0,905100,498366,0,0.69,0.8307
"   Green, Louis ",Broncos ,850000,300000,6480,856480,956480,0.756585092,1.50,1.2247
"   Greenway, Chad ",Vikings ,675000,0,1056120,1731120,1958620,61.0079024,17.06,4.1304
"   Greenwood, Morlon ",Texans ,4017000,0,200000,4217000,5517000,4.742708086,5.88,2.4249
"   Greisen, Nick ",Ravens ,650000,1000000,5040,1655040,988373,0.304524362,1.31,1.1446
"   Griffin, Kris ",Browns ,650000,0,104800,754800,704800,13.88447271,1.19,1.0909
"   Guyton, Gary ",Patriots ,295000,12000,0,307000,301000,0,6.44,2.5377
"   Haggans, Clark ",Cardinals ,1000000,350000,3480,1353480,1353480,0.257114992,4.19,2.0469
"   Hagler, Tyjuan ",Colts ,1417000,0,6720,1423720,1423720,0.472002922,3.69,1.9209
"   Harris, David ",Jets ,370000,1400000,401000,771000,1121000,52.01037613,10.25,3.2016
"   Harris, Marques ",Chargers ,1417000,0,5040,1422040,1422040,0.35442041,5.81,2.4104
"   Harrison, James ",Steelers ,1200000,1375000,606720,1806720,1550470,33.58129649,15.81,3.9762
"   Hawk, A.J. ",Packers ,1950000,0,1706720,3656720,4827970,46.67352163,11.81,3.4366
"   Hawthorne, David ",Seahawks ,295000,3000,0,298000,296500,0,2.12,1.4560
"   Hayes, Geno ",Buccaneers ,295000,105000,0,400000,321250,0,1.88,1.3711
"   Hayes, Gerald ",Cardinals ,1500000,0,3120,1503120,1503120,0.207568258,15.31,3.9128
"   Hayward, Adam ",Buccaneers ,370000,102000,5760,375760,401260,1.532893336,2.06,1.4353
"   Henderson, E.J. ",Vikings ,2500000,4000000,150000,2650000,4321305,5.660377358,5.06,2.2494
"   Henderson, Erin ",Vikings ,295000,20000,0,315000,301666,0,2.69,1.6401
"   Herring, Will ",Seahawks ,370000,163100,5160,375160,361229,1.375413157,2.94,1.7146
"   Herron, David ",Vikings ,370000,0,6240,376240,376240,1.658515841,2.38,1.5427
"   Highsmith, Ali ",Cardinals ,295000,13000,0,308000,301500,0,0.62,0.7874
"   Hill, Leroy ",Seahawks ,927000,565000,4680,931680,1072930,0.502318393,12.56,3.5440
"   Hillenmeyer, Hunter ",Bears ,1450000,0,50000,1500000,1500000,3.333333333,2.62,1.6186
"   Hodge, Abdul ",Bengals ,370000,0,0,370000,282941,0,0.19,0.4359
"   Howard, Thomas ",Raiders ,445000,0,53360,498360,998360,10.70711935,15.44,3.9294
"   Ingram, Clint ",Jaguars ,445000,715000,5760,450760,629510,1.277841867,6.38,2.5259
"   Izzo, Larry ",Patriots ,830000,40000,5160,875160,490160,0.589606472,1.88,1.3711
"   Jackson, D'Qwell ",Browns ,515000,0,230000,745000,1105000,30.87248322,19.31,4.3943
"   James, Bradie ",Cowboys ,1750000,8000000,6120,1756120,3356120,0.348495547,19.00,4.3589
"   Jeanty, Rashad ",Bengals ,445000,0,5040,450040,450040,1.119900453,13.12,3.6222
"   Johnson, Brandon ",Bengals ,445000,0,5160,450160,450160,1.146259108,9.88,3.1432
"   Johnson, Derrick O'Hare (LB) ",Chiefs ,745000,0,504800,1249800,2214800,40.39046247,13.81,3.7162
"   Johnson, Landon ",Panthers ,605000,3000000,100000,3705000,1705000,2.699055331,2.88,1.6971
"   Jones, Dhani ",Bengals ,1100000,500000,1050000,2650000,1866666,39.62264151,16.81,4.1000
"   Jordan, Akeem ",Eagles ,370000,0,1106360,1476360,1476360,74.93836192,11.56,3.4000
"   June, Cato ",Buccaneers ,1000000,2000000,2102400,3102400,3669066,67.76689015,9.75,3.1225
"   Keglar, Stanford ",Titans ,295000,385100,0,680100,391275,0,1.88,1.3711
"   Kehl, Bryan ",Giants ,295000,433235,0,728235,403308,0,4.69,2.1656
"   Keiaho, Freddy ",Colts ,445000,424000,40800,485800,555800,8.398517909,16.44,4.0546
"   Koutouvides, Niko ",Broncos ,605000,2000000,605880,3210880,1277546,18.86959338,1.75,1.3229
"   Kyle, Jason ",Panthers ,830000,400000,1560,831560,911560,0.187599211,0.56,0.7483
"   LaRocque, Joey ",Bears ,295000,0,0,295000,260294,0,1.12,1.0583
"   Larsen, Spencer ",Broncos ,295000,97525,0,392525,319381,0,3.62,1.9026
"   Laury, Lance ",Seahawks ,445000,0,4200,449200,449200,0.934995548,1.94,1.3928
"   Lawson, Manny ",49ers ,637500,0,755000,1392500,1690000,54.21903052,8.50,2.9155
"   Leber, Ben ",Vikings ,2450000,3000000,600000,3050000,3600000,19.67213115,13.88,3.7256
"   Lenon, Paris ",Lions ,1050000,1800000,150000,1200000,1800000,12.5,19.19,4.3806
"   Lewis, Alex ",Lions ,1000000,1350000,6240,1006240,1456240,0.620130386,7.31,2.7037
"   Lewis, D.D. (DeAndre DeWayne) ",Seahawks ,605000,40000,2880,647880,487880,0.444526764,6.44,2.5377
"   Lewis, Ray  ", Ravens  ,6500000,10000000,240,6500240,9428814,0.003692171,19.00,4.3589
"   Lofton, Curtis ",Falcons ,295000,1640000,1035000,2970000,800000,34.84848485,12.69,3.5623
"   Mayo, Jerod ",Patriots ,295000,0,1505000,1800000,1800000,83.61111111,16.88,4.1085
"   Mays, Corey ",Bengals ,445000,0,5640,450640,450640,1.251553346,3.38,1.8385
"   Mays, Joe ",Eagles ,295000,76295,0,371295,314073,0,0.00,0.0000
"   McClain, Jameel ",Ravens ,295000,3000,0,298000,298000,0,2.81,1.6763
"   McClover, Darrell ",Bears ,520000,75000,4800,524800,562300,0.914634146,0.75,0.8660
"   McCoy, Matt ",Buccaneers ,520000,100000,130760,750760,625760,17.41701742,1.44,1.2000
"   McIntosh, Rocky ",Redskins ,445000,1820000,1165000,1610000,1520000,72.36024845,12.06,3.4728
"   Merriman, Shawne ",Chargers ,1050000,0,1080,1051080,2638580,0.102751456,0.25,0.5000
"   Mitchell, Kawika ",Bills ,1500000,0,2503240,4003240,4003240,62.53035042,11.94,3.4554
"   Mitchell, Marvin ",Saints ,370000,0,5520,375520,375520,1.469961653,2.38,1.5427
"   Morrison, Kirk ",Raiders ,1710000,888000,405400,2115400,1893000,19.16422426,18.69,4.3232
"   Nece, Ryan ",Lions ,605000,40000,0,645000,485000,0,9.69,3.1129
"   Nicholas, Stephen ",Falcons ,370000,467500,5400,375400,492275,1.438465637,3.12,1.7664
"   Nkang, Chad ",Jaguars ,370000,36250,4320,374320,328676,1.154092755,1.06,1.0296
"   Okeafor, Chike ",Cardinals ,4500000,4500000,4440,4504440,5404440,0.098569412,9.94,3.1528
"   Orr, Shantee ",Browns ,605000,0,40000,645000,445000,6.201550388,1.25,1.1180
"   Peterson, Julian ",Seahawks ,3500000,11500000,1501800,5001800,7301800,30.02519093,14.44,3.8000
"   Peterson, Mike ",Jaguars ,3000000,2000000,1606240,4606240,4939575,34.87095766,12.88,3.5889
"   Pettway, Kenneth ",Packers ,520000,0,0,520000,397647,0,0.62,0.7874
"   Pierce, Antonio ",Giants ,4000000,3250000,0,4000000,5300000,0,12.88,3.5889
"   Poppinga, Brady ",Packers ,600000,0,3403960,4003960,4005710,85.01483531,8.38,2.8948
"   Porter, Joey ",Dolphins ,4800000,12000000,400000,5200000,7400000,7.692307692,10.69,3.2696
"   Posluszny, Paul ",Bills ,500000,1468000,1072400,1572400,872400,68.20147545,16.06,4.0075
"   Rivers, Keith ",Bengals ,295000,1225000,4565000,6085000,1904166,75.02054232,5.06,2.2494
"   Roach, Nick ",Bears ,370000,0,4800,374800,374800,1.280683031,6.31,2.5120
"   Rogers, Justin ",Cowboys ,370000,83500,6240,376240,376240,1.658515841,2.25,1.5000
"   Ruud, Barrett ",Buccaneers ,520000,2060000,3840,523840,1039590,0.733048259,19.56,4.4227
"   Ryans, DeMeco ",Texans ,445000,1425000,1131720,1576720,1282970,71.77685321,18.00,4.2426
"   Scott, Bart ",Ravens ,3400000,6500000,2640,3402640,5569308,0.077586815,11.38,3.3734
"   Senn, Jordan ",Colts ,295000,10000,0,305000,298333,0,2.44,1.5620
"   Session, Clint ",Colts ,370000,370000,5280,375280,467780,1.406949478,13.38,3.6579
"   Seward, Adam ",Panthers ,927000,0,5640,932640,932640,0.604734946,1.50,1.2247
"   Shanle, Scott ",Saints ,1500000,4000000,200000,1700000,2600000,11.76470588,11.75,3.4278
"   Siler, Brandon ",Chargers ,370000,42725,6000,376000,386681,1.595744681,2.94,1.7146
"   Sims, Ernie ",Lions ,715000,0,1465000,2180000,2605000,67.20183486,14.38,3.7921
"   Smith, Daryl ",Jaguars ,605000,4500000,2235280,2840280,3696947,78.69928317,12.06,3.4728
"   Spencer, Cody ",Jets ,700000,0,50000,750000,750000,6.666666667,3.12,1.7664
"   Spikes, Takeo ",49ers ,1040000,300000,360000,1700000,1680000,21.17647059,15.31,3.9128
"   Stamer, Josh ",Titans ,605000,175000,31240,811240,698740,3.850894926,1.50,1.2247
"   Stills, Gary ",Rams ,730000,0,0,730000,445000,0,2.38,1.5427
"   Tatupu, Lofa ",Seahawks ,520000,4000000,100000,4620000,2736666,2.164502165,13.19,3.6318
"   Thomas, Patrick ",Chiefs ,445000,0,5640,450640,450640,1.251553346,6.31,2.5120
"   Thomas, Zach ",Cowboys ,1000000,1000000,1005760,3005760,1255760,33.46108804,14.19,3.7670
"   Thompson, Chaun ",Texans ,650000,650000,50000,1350000,1025000,3.703703704,1.88,1.3711
"   Thornton, David ",Titans ,2900000,7000000,606240,3506240,4806240,17.29031669,10.88,3.2985
"   Timmons, Lawrence ",Steelers ,370000,0,1829760,2199760,1754510,83.17998327,11.06,3.3257
"   Tinoisamoa, Pisa ",Rams ,3000000,5000000,4200,3004200,4004200,0.139804274,16.50,4.0620
"   Trusnik, Jason ",Jets ,370000,0,6240,376240,321534,1.658515841,2.25,1.5000
"   Tucker, Jyles ",Chargers ,370000,250000,3505640,4125640,3925640,84.97202858,6.69,2.5865
"   Tulloch, Stephen ",Titans ,445000,429500,6120,451120,558495,1.356623515,13.25,3.6401
"   Ulbrich, Jeff ",49ers ,1875000,2000000,55760,1930760,2280760,2.887981935,2.75,1.6583
"   Urlacher, Brian ",Bears ,1589285,2500000,50000,4139285,5725509,1.207938086,16.31,4.0386
"   Vilma, Jonathan ",Saints ,4097500,0,100000,4197500,4097500,2.382370459,21.69,4.6573
"   Vrabel, Mike ",Patriots ,1800000,5180000,1350840,3150840,4186840,42.87237689,9.31,3.0512
"   Ware, DeMarcus ",Cowboys ,725000,0,1396240,2121240,2163240,65.82187777,17.38,4.1689
"   Washington, Marcus ",Redskins ,4425000,3415000,0,4425000,6445416,0,4.81,2.1932
"   Waters, Anthony ",Chargers ,370000,598000,6120,376120,525620,1.627140274,1.31,1.1446
"   Webster, Nate ",Broncos ,780000,0,650000,1430000,1030000,45.45454545,17.06,4.1304
"   Wheeler, Philip ",Colts ,295000,644000,0,939000,456000,0,1.62,1.2728
"   White, Tracy ",Packers ,705000,200000,505000,1410000,860000,35.81560284,0.62,0.7874
"   Wilhelm, Matt ",Chargers ,1750000,2625000,1378960,3128960,3653960,44.07087339,7.44,2.7276
"   Wilkinson, Gerris ",Giants ,445000,583500,3960,448960,594835,0.882038489,1.38,1.1747
"   Williams, D.J. ",Broncos ,850000,0,25000,875000,1876000,2.857142857,14.38,3.7921
"   Williams, Demorrio ",Chiefs ,1000000,3000000,3720,4003720,1603720,0.09291359,11.06,3.3257
"   Williams, Jamar ",Bears ,445000,415000,4560,449560,553310,1.014325118,2.12,1.4560
"   Williams, Leon ",Browns ,445000,450000,1920,446920,559420,0.429607089,5.00,2.2361
"   Williams, Sam ",Raiders ,700000,250000,150000,850000,875000,17.64705882,3.12,1.7664
"   Williams, Thomas ",Jaguars ,295000,174500,0,469500,338625,0,0.31,0.5568
"   Willis, Patrick ",49ers ,370000,3000000,1956000,2326000,4081000,84.09286328,27.88,5.2802
"   Winborn, Jamie ",Broncos ,800000,0,950000,1750000,1750000,54.28571429,13.69,3.7000
"   Witherspoon, Will ",Rams ,4000000,9000000,3120,4003120,5803120,0.077939207,11.88,3.4467
"   Woods, Pierre ",Patriots ,445000,0,4680,449680,449680,1.040740082,4.12,2.0298
"   Woodyard, Wesley ",Broncos ,295000,20000,0,315000,301666,0,8.50,2.9155
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
