Obs,Group,Grp,Coin,,,
282,No,2,80,,,
283,No,2,60,,,
284,No,2,90,,,
285,No,2,100,,,
286,No,2,100,,,
287,No,2,60,,,
288,No,2,80,,,
289,No,2,100,,,
290,No,2,100,,,
291,No,2,100,,,
292,No,2,80,,,
293,No,2,75,,,
296,No,2,40,,,
297,No,2,60,,,
298,No,2,80,,,
299,No,2,80,,,
300,No,2,60,,,
301,No,2,100,,,
302,No,2,80,,,
303,No,2,90,,,
304,No,2,100,,,
306,No,2,70,,,
307,No,2,90,,,
308,No,2,100,,,
309,No,2,40,,,
310,No,2,0,,,
311,No,2,80,,,
314,No,2,100,,,
315,No,2,90,,,
316,No,2,90,,,
317,No,2,100,,,
318,No,2,30,,,
319,No,2,100,,,
320,No,2,70,,,
321,No,2,12.5,,,
322,No,2,80,,,
323,No,2,50,,,
324,No,2,80,,,
325,No,2,80,,,
327,No,2,10,,,
328,No,2,100,,,
329,No,2,60,,,
330,No,2,70,,,
331,No,2,85,,,
332,No,2,70,,,
333,No,2,70,,,
334,No,2,100,,,
335,No,2,100,,,
336,No,2,67,,,
337,No,2,60,,,
338,No,2,80,,,
339,No,2,100,,,
340,No,2,70,,,
346,No,2,90,,,
347,No,2,30,,,
348,No,2,70,,,
349,No,2,40,,,
350,No,2,80,,,
351,No,2,100,,,
352,No,2,100,,,
354,No,2,40,,,
355,No,2,80,,,
356,No,2,30,,,
357,No,2,30,,,
358,No,2,100,,,
359,No,2,70,,,
360,No,2,70,,,
361,No,2,40,,,
362,No,2,50,,,
364,No,2,20,,,
365,No,2,15,,,
366,No,2,40,,,
367,No,2,80,,,
368,No,2,70,,,
369,No,2,30,,,
370,No,2,60,,,
371,No,2,100,,,
372,No,2,90,,,
373,No,2,100,,,
374,No,2,80,,,
375,No,2,60,,,
376,No,2,70,,,
377,No,2,80,,,
378,No,2,70,,,
379,No,2,60,,,
380,No,2,40,,,
381,No,2,30,,,
382,No,2,90,,,
383,No,2,80,,,
384,No,2,70,,,
385,No,2,100,,,
386,No,2,70,,,
387,No,2,40,,,
388,No,2,50,,,
389,No,2,30,,,
390,No,2,100,,,
391,No,2,50,,,
392,No,2,60,,,
393,No,2,70,,,
394,No,2,50,,,
395,No,2,80,,,
396,No,2,60,,,
397,No,2,50,,,
398,No,2,50,,,
399,No,2,40,,,
400,No,2,90,,,
401,No,2,30,,,
402,No,2,50,,,
403,No,2,70,,,
404,No,2,100,,,
405,No,2,60,,,
406,No,2,30,,,
407,No,2,60,,,
408,No,2,100,,,
409,No,2,40,,,
410,No,2,60,,,
