Group,Sex,HR
Runners,Female,126
Runners,Female,142
Runners,Female,121
Runners,Female,125
Runners,Female,116
Runners,Female,107
Runners,Female,126
Runners,Female,95
Runners,Female,134
Runners,Female,100
Runners,Female,95
Runners,Female,144
Runners,Female,108
Runners,Female,114
Runners,Female,121
Runners,Female,105
Runners,Female,78
Runners,Female,102
Runners,Female,118
Runners,Female,137
Runners,Female,122
Runners,Female,106
Runners,Female,139
Runners,Female,114
Runners,Female,110
Runners,Female,128
Runners,Female,98
Runners,Female,100
Runners,Female,99
Runners,Female,103
Runners,Female,122
Runners,Female,115
Runners,Female,123
Runners,Female,107
Runners,Female,106
Runners,Female,113
Runners,Female,134
Runners,Female,126
Runners,Female,149
Runners,Female,147
Runners,Female,120
Runners,Female,141
Runners,Female,124
Runners,Female,116
Runners,Female,112
Runners,Female,132
Runners,Female,97
Runners,Female,80
Runners,Female,128
Runners,Female,106
Runners,Female,109
Runners,Female,100
Runners,Female,128
Runners,Female,128
Runners,Female,95
Runners,Female,115
Runners,Female,103
Runners,Female,98
Runners,Female,85
Runners,Female,113
Runners,Female,123
Runners,Female,102
Runners,Female,126
Runners,Female,106
Runners,Female,105
Runners,Female,132
Runners,Female,109
Runners,Female,131
Runners,Female,105
Runners,Female,108
Runners,Female,122
Runners,Female,128
Runners,Female,132
Runners,Female,85
Runners,Female,116
Runners,Female,88
Runners,Female,134
Runners,Female,126
Runners,Female,87
Runners,Female,109
Runners,Female,107
Runners,Female,121
Runners,Female,138
Runners,Female,117
Runners,Female,121
Runners,Female,112
Runners,Female,119
Runners,Female,106
Runners,Female,126
Runners,Female,86
Runners,Female,108
Runners,Female,124
Runners,Female,122
Runners,Female,94
Runners,Female,146
Runners,Female,111
Runners,Female,100
Runners,Female,141
Runners,Female,122
Runners,Female,117
Runners,Female,120
Runners,Female,106
Runners,Female,123
Runners,Female,139
Runners,Female,100
Runners,Female,150
Runners,Female,111
Runners,Female,108
Runners,Female,97
Runners,Female,124
Runners,Female,147
Runners,Female,102
Runners,Female,98
Runners,Female,128
Runners,Female,92
Runners,Female,124
Runners,Female,111
Runners,Female,135
Runners,Female,140
Runners,Female,117
Runners,Female,94
Runners,Female,111
Runners,Female,88
Runners,Male,100
Runners,Male,120
Runners,Male,93
Runners,Male,107
Runners,Male,138
Runners,Male,96
Runners,Male,107
Runners,Male,119
Runners,Male,99
Runners,Male,102
Runners,Male,87
Runners,Male,88
Runners,Male,80
Runners,Male,120
Runners,Male,104
Runners,Male,110
Runners,Male,127
Runners,Male,112
Runners,Male,96
Runners,Male,87
Runners,Male,94
Runners,Male,81
Runners,Male,116
Runners,Male,102
Runners,Male,102
Runners,Male,98
Runners,Male,97
Runners,Male,103
Runners,Male,97
Runners,Male,101
Runners,Male,86
Runners,Male,92
Runners,Male,119
Runners,Male,121
Runners,Male,103
Runners,Male,98
Runners,Male,132
Runners,Male,93
Runners,Male,105
Runners,Male,116
Runners,Male,93
Runners,Male,114
Runners,Male,97
Runners,Male,128
Runners,Male,98
Runners,Male,107
Runners,Male,105
Runners,Male,95
Runners,Male,104
Runners,Male,86
Runners,Male,102
Runners,Male,95
Runners,Male,83
Runners,Male,78
Runners,Male,96
Runners,Male,110
Runners,Male,101
Runners,Male,107
Runners,Male,113
Runners,Male,98
Runners,Male,91
Runners,Male,92
Runners,Male,113
Runners,Male,88
Runners,Male,97
Runners,Male,96
Runners,Male,112
Runners,Male,130
Runners,Male,105
Runners,Male,97
Runners,Male,90
Runners,Male,124
Runners,Male,117
Runners,Male,99
Runners,Male,102
Runners,Male,97
Runners,Male,108
Runners,Male,125
Runners,Male,107
Runners,Male,108
Runners,Male,103
Runners,Male,108
Runners,Male,123
Runners,Male,127
Runners,Male,102
Runners,Male,114
Runners,Male,109
Runners,Male,116
Runners,Male,95
Runners,Male,102
Runners,Male,125
Runners,Male,103
Runners,Male,121
Runners,Male,89
Runners,Male,111
Runners,Male,98
Runners,Male,101
Runners,Male,99
Runners,Male,108
Runners,Male,100
Runners,Male,102
Runners,Male,120
Runners,Male,98
Runners,Male,108
Runners,Male,94
Runners,Male,85
Runners,Male,106
Runners,Male,126
Runners,Male,129
Runners,Male,118
Runners,Male,93
Runners,Male,105
Runners,Male,100
Runners,Male,100
Runners,Male,98
Runners,Male,116
Runners,Male,109
Runners,Male,100
Runners,Male,127
Runners,Male,80
Runners,Male,109
Runners,Male,98
Runners,Male,97
Runners,Male,126
Runners,Male,82
Runners,Male,99
Runners,Male,90
Runners,Male,94
Runners,Male,112
Runners,Male,114
Runners,Male,106
Runners,Male,114
Runners,Male,96
Runners,Male,93
Runners,Male,111
Runners,Male,110
Runners,Male,115
Runners,Male,102
Runners,Male,103
Runners,Male,116
Runners,Male,115
Runners,Male,95
Runners,Male,103
Runners,Male,112
Runners,Male,127
Runners,Male,119
Runners,Male,118
Runners,Male,104
Runners,Male,114
Runners,Male,96
Runners,Male,126
Runners,Male,104
Runners,Male,87
Runners,Male,104
Runners,Male,105
Runners,Male,104
Runners,Male,94
Runners,Male,79
Runners,Male,109
Runners,Male,99
Runners,Male,83
Runners,Male,106
Runners,Male,109
Runners,Male,118
Runners,Male,106
Runners,Male,95
Runners,Male,102
Runners,Male,91
Runners,Male,88
Runners,Male,93
Runners,Male,119
Runners,Male,109
Runners,Male,111
Runners,Male,146
Runners,Male,99
Runners,Male,92
Runners,Male,117
Runners,Male,115
Runners,Male,103
Runners,Male,98
Runners,Male,83
Runners,Male,87
Runners,Male,109
Runners,Male,96
Runners,Male,111
Runners,Male,97
Runners,Male,96
Runners,Male,101
Runners,Male,93
Runners,Male,119
Runners,Male,103
Runners,Male,69
Runners,Male,104
Runners,Male,117
Runners,Male,95
Runners,Male,92
Runners,Male,100
Runners,Male,112
Runners,Male,97
Runners,Male,89
