Industry,Ticker1,Ratio,Profit,Lratio,Lprofit,CLRatio,CLProfit,Dummy1,Dummy2,CLRatioD1,CLRatioD2
Manufacturing,Texas Instruments Inc,210,323551.188,5.347107531,12.68711261,0.312414583,0.107096017,0,1,0,0.312414583
Manufacturing,Stryker Corp,209,247666.6667,5.342334252,12.41983904,0.307641305,-0.16017756,0,1,0,0.307641305
Manufacturing,"Stanley Black & Decker, Inc.",357,82714.44646,5.877735782,11.32314955,0.843042834,-1.256867044,0,1,0,0.843042834
Manufacturing,Smith A O Corp,428,76937.8882,6.059123196,11.25075373,1.024430248,-1.329262867,0,1,0,1.024430248
Manufacturing,Sealed Air Corp/DE,179,94480,5.187385806,11.45614345,0.152692859,-1.123873144,0,1,0,0.152692859
Manufacturing,Ppg Industries Inc,382,138686.4407,5.945420609,11.83997084,0.910727661,-0.740045754,0,1,0,0.910727661
Manufacturing,Phillips 66,138,1571575.342,4.927253685,14.26758908,-0.107439262,1.687572482,0,1,0,-0.107439262
Manufacturing,Philip Morris International Inc.,325,227245.6576,5.783825182,12.3337869,0.749132235,-0.246229692,0,1,0,0.749132235
Manufacturing,Pfizer Inc,313,457937.9157,5.746203191,13.0344889,0.711510243,0.454472304,0,1,0,0.711510243
Manufacturing,PERRIGO Co plc,127,190336.5385,4.844187086,12.15654904,-0.190505861,-0.423467556,0,1,0,-0.190505861
Manufacturing,Perkinelmer Inc,200,97548.27273,5.298317367,11.48810264,0.263624419,-1.091913956,0,1,0,0.263624419
Manufacturing,PENTAIR plc,264,99407.6087,5.575949103,11.50698394,0.541256156,-1.073032659,0,1,0,0.541256156
Manufacturing,Packaging Corp Of America,155,100835.6164,5.043425117,11.52124691,0.00873217,-1.058769685,0,1,0,0.00873217
Manufacturing,Nvidia Corp,88,505031.2283,4.477336814,13.13237554,-0.557356133,0.552358949,0,1,0,-0.557356133
Manufacturing,Newell Brands Inc,477,103863.2653,6.167516491,11.55083056,1.132823544,-1.029186039,0,1,0,1.132823544
Manufacturing,National Oilwell Varco Inc,239,27972.02797,5.476463552,10.23896029,0.441770605,-2.341056306,0,1,0,0.441770605
Manufacturing,"Motorola Solutions, Inc.",148,201600,4.997212274,12.21404082,-0.037480674,-0.36597578,0,1,0,-0.037480674
Manufacturing,Mosaic Co,94,99152.94118,4.543294782,11.5044188,-0.491398165,-1.075597798,0,1,0,-0.491398165
Manufacturing,"Mondelez International, Inc.",403,121265.0602,5.998936562,11.70573401,0.964243615,-0.874282586,0,1,0,0.964243615
Manufacturing,Molson Coors Brewing Co,119,278232.5581,4.779123493,12.53621258,-0.255569454,-0.043804012,0,1,0,-0.255569454
Manufacturing,Mettler Toledo International Inc/,178,114008.1884,5.18178355,11.64402555,0.147090603,-0.935991042,0,1,0,0.147090603
Manufacturing,"Merck & Co., Inc.",215,396333.3333,5.370638028,12.89001089,0.335945081,0.309994292,0,1,0,0.335945081
Manufacturing,Masco Corp /DE/,298,100423.0769,5.697093487,11.51714731,0.662400539,-1.062869285,0,1,0,0.662400539
Manufacturing,Marathon Petroleum Corp,935,202054.7945,6.840546529,12.2162942,1.805853582,-0.363722396,0,1,0,1.805853582
Manufacturing,Lilly Eli & Co,118,413260.3616,4.770684624,12.93183309,-0.264008323,0.351816494,0,1,0,-0.264008323
Manufacturing,Leucadia National Corp,489,119656.2943,6.192362489,11.6923787,1.157669542,-0.887637897,0,1,0,1.157669542
Manufacturing,Kraft Heinz Co,91,248794.8718,4.510859507,12.42438403,-0.523833441,-0.155632567,0,1,0,-0.523833441
Manufacturing,Kellogg Co,183,152181.8182,5.209486153,11.93283126,0.174793206,-0.647185338,0,1,0,0.174793206
Manufacturing,Johnson & Johnson,452,381313.4328,6.11368218,12.85137697,1.078989233,0.271360379,0,1,0,1.078989233
Manufacturing,IPG Photonics Corp,68.3,158431.6103,4.223909767,11.9730783,-0.810783181,-0.606938296,0,1,0,-0.810783181
Manufacturing,International Flavors & Fragrances Inc,126.7,202602.8767,4.841822087,12.21900307,-0.19287086,-0.361013525,0,1,0,-0.19287086
Manufacturing,Illumina Inc,86,294516.129,4.454347296,12.59308905,-0.580345651,0.013072453,0,1,0,-0.580345651
Manufacturing,Illinois Tool Works Inc,420,120100,6.040254711,11.69608001,1.005561764,-0.883936587,0,1,0,1.005561764
Manufacturing,"Huntington Ingalls Industries, Inc.",60,37447.36842,4.094344562,10.53069172,-0.940348385,-2.049324878,0,1,0,-0.940348385
Manufacturing,Honeywell International Inc,333,98923.66412,5.80814249,11.50210376,0.773449543,-1.077912833,0,1,0,0.773449543
Manufacturing,Hershey Co,376,224252.5391,5.929589143,12.3205281,0.894896196,-0.259488493,0,1,0,0.894896196
Manufacturing,Hasbro Inc,160,588164.6296,5.075173815,13.28476217,0.040480868,0.704745575,0,1,0,0.040480868
Manufacturing,Goodyear Tire & Rubber Co /OH/,206,57156.25,5.327876169,10.95354402,0.293183221,-1.626472571,0,1,0,0.293183221
Manufacturing,Gilead Sciences Inc,94,2173600,4.543294782,14.59189534,-0.491398165,2.011878742,0,1,0,-0.491398165
Manufacturing,Fortive Corp,211.8,126865.3846,5.355642433,11.75088184,0.320949486,-0.829134756,0,1,0,0.320949486
Manufacturing,Flowserve Corp,122,63845.70588,4.804021045,11.06422461,-0.230671903,-1.515791989,0,1,0,-0.230671903
Manufacturing,Flir Systems Inc,142,242455.1101,4.955827058,12.39857186,-0.07886589,-0.181444736,0,1,0,-0.07886589
Manufacturing,Edwards Lifesciences Corp,215,209836.0656,5.370638028,12.25408186,0.335945081,-0.32593473,0,1,0,0.335945081
Manufacturing,Ecolab Inc.,238,132917.3554,5.472270674,11.79748283,0.437577726,-0.782533769,0,1,0,0.437577726
Manufacturing,Eaton Corp plc,59,69250,4.077537444,11.14547842,-0.957155503,-1.434538171,0,1,0,-0.957155503
Manufacturing,DowDuPont Inc.,175,123163.2653,5.164785974,11.72126611,0.130093027,-0.858750481,0,1,0,0.130093027
Manufacturing,DOVER Corp,237,99668.17241,5.468060141,11.50960167,0.433367194,-1.070414924,0,1,0,0.433367194
Manufacturing,DENTSPLY SIRONA Inc.,151,135931.677,5.017279837,11.81990766,-0.01741311,-0.760108932,0,1,0,-0.01741311
Manufacturing,Corning Inc /NY,356,87272.72727,5.874930731,11.37679329,0.840237784,-1.203223304,0,1,0,0.840237784
Manufacturing,Conocophillips,95,1376578.947,4.553876892,14.13511196,-0.480816056,1.55509536,0,1,0,-0.480816056
Manufacturing,Colgate Palmolive Co,641,258495.8217,6.463029457,12.46263481,1.42833651,-0.117381786,0,1,0,1.42833651
Manufacturing,Coca Cola Co,230,358478.9644,5.438079309,12.78962526,0.403386362,0.209608665,0,1,0,0.403386362
Manufacturing,Church & Dwight Co Inc /DE/,97.8,368000,4.582924577,12.81583822,-0.45176837,0.235821622,0,1,0,-0.45176837
Manufacturing,Chevron Corp,180,1118400.771,5.192956851,13.92741034,0.158263904,1.347393744,0,1,0,0.158263904
Manufacturing,Bristol Myers Squibb Co,169,620675.1055,5.129898715,13.33856304,0.095205768,0.758546449,0,1,0,0.095205768
Manufacturing,Boston Scientific Corp,205,222586.2069,5.323009979,12.31306975,0.288317032,-0.266946843,0,1,0,0.288317032
Manufacturing,Borgwarner Inc,247,73106.89655,5.509388337,11.19967799,0.474695389,-1.38033861,0,1,0,0.474695389
Manufacturing,Boeing Co,166,123053.9773,5.111987788,11.72037838,0.077294841,-0.859638217,0,1,0,0.077294841
Manufacturing,BALL Corp,157,123825.1366,5.056245805,11.72662566,0.021552858,-0.853390934,0,1,0,0.021552858
Manufacturing,Arconic Inc.,96,49445.78313,4.564348191,10.80863206,-0.470344756,-1.771384537,0,1,0,-0.470344756
Manufacturing,Amphenol Corp /DE/,670,32941.42857,6.507277712,10.40248637,1.472584765,-2.177530223,0,1,0,1.472584765
Manufacturing,Ametek Inc/,144,85724.20118,4.9698133,11.35889046,-0.064879648,-1.221126136,0,1,0,-0.064879648
Manufacturing,"Altria Group, Inc.",114,1433833.233,4.736198448,14.175862,-0.298494499,1.595845404,0,1,0,-0.298494499
Manufacturing,Allergan plc,349,773747.191,5.855071922,13.55900047,0.820378975,0.978983877,0,1,0,0.820378975
Manufacturing,Align Technology Inc,920,128163.7407,6.82437367,11.76106395,1.789680723,-0.818952646,0,1,0,1.789680723
Manufacturing,Alexion Pharmaceuticals Inc,93,1226495.05,4.532599493,14.01967111,-0.502093454,1.439654511,0,1,0,-0.502093454
Manufacturing,Albemarle Corp,114,205551.8519,4.736198448,12.2334536,-0.298494499,-0.346562994,0,1,0,-0.298494499
Manufacturing,Advanced Micro Devices Inc,121,204831.4607,4.795790546,12.22994278,-0.238902402,-0.350073818,0,1,0,-0.238902402
Manufacturing,AbbVie Inc.,144,730206.8966,4.9698133,13.50108319,-0.064879648,0.921066598,0,1,0,-0.064879648
Manufacturing,3M Co,324,171036.5321,5.780743516,12.04963245,0.746050569,-0.530384145,0,1,0,0.746050569
FinanceInsuranceRealEstate,Willis Towers Watson Plc,65,188986.1751,4.17438727,12.14942914,-0.860305677,-0.430587451,0,0,0,0
FinanceInsuranceRealEstate,Weyerhaeuser Co,151,204086.0215,5.017279837,12.22629686,-0.01741311,-0.353719737,0,0,0,0
FinanceInsuranceRealEstate,Ventas Inc,285,4234657.201,5.65248918,15.25881294,0.617796233,2.678796343,0,0,0,0
FinanceInsuranceRealEstate,Torchmark Corp,104,463344.6164,4.644390899,13.04622637,-0.390302048,0.466209773,0,0,0,0
FinanceInsuranceRealEstate,Synchrony Financial,298,625500,5.697093487,13.34630661,0.662400539,0.766290014,0,0,0,0
FinanceInsuranceRealEstate,Svb Financial Group,46,773296.1444,3.828641396,13.55841736,-1.206051551,0.97840077,0,0,0,0
FinanceInsuranceRealEstate,Suntrust Banks Inc,159,360647.4669,5.068904202,12.79565621,0.034211255,0.215639619,0,0,0,0
FinanceInsuranceRealEstate,Schwab Charles Corp,146,489659.0909,4.983606622,13.1014647,-0.051086326,0.5214481,0,0,0,0
FinanceInsuranceRealEstate,Sba Communications Corp,130,992534.4694,4.86753445,13.80801702,-0.167158497,1.228000426,0,0,0,0
FinanceInsuranceRealEstate,Regions Financial Corp,202,253062.5403,5.308267697,12.44139193,0.27357475,-0.138624663,0,0,0,0
FinanceInsuranceRealEstate,Regency Centers Corp,59,33239.91031,4.077537444,10.41150655,-0.957155503,-2.168510044,0,0,0,0
FinanceInsuranceRealEstate,Realty Income Corp,88,7901427.632,4.477336814,15.88255401,-0.557356133,3.302537419,0,0,0,0
FinanceInsuranceRealEstate,Public Storage,439,350098.2143,6.084499413,12.76596901,1.049806466,0.185952411,0,0,0,0
FinanceInsuranceRealEstate,Progressive Corp/OH/,136,238620.1569,4.912654886,12.38262826,-0.122038062,-0.19738833,0,0,0,0
FinanceInsuranceRealEstate,Principal Financial Group Inc,119,407764.3387,4.779123493,12.91844469,-0.255569454,0.33842809,0,0,0,0
FinanceInsuranceRealEstate,"Pnc Financial Services Group, Inc.",201,308641.742,5.303304908,12.63993647,0.268611961,0.059919877,0,0,0,0
FinanceInsuranceRealEstate,"Nasdaq, Inc.",132,512885.5091,4.882801923,13.14780792,-0.151891025,0.567791325,0,0,0,0
FinanceInsuranceRealEstate,Loews Corp,84,421160.221,4.430816799,12.95076861,-0.603876148,0.370752018,0,0,0,0
FinanceInsuranceRealEstate,Lincoln National Corp,219,719243.9483,5.38907173,13.48595587,0.354378783,0.905939272,0,0,0,0
FinanceInsuranceRealEstate,Keycorp /NEW/,118,327233.2338,4.770684624,12.69842845,-0.264008323,0.118411854,0,0,0,0
FinanceInsuranceRealEstate,Humana Inc,344,223769.0632,5.840641657,12.31836983,0.80594871,-0.261646764,0,0,0,0
FinanceInsuranceRealEstate,"Hcp, Inc.",40,6221721.053,3.688879454,15.64355712,-1.345813493,3.063540528,0,0,0,0
FinanceInsuranceRealEstate,Hartford Financial Services Group Inc/DE,143,414634.1463,4.96284463,12.93515184,-0.071848317,0.35513524,0,0,0,0
FinanceInsuranceRealEstate,Gallagher Arthur J & Co,126,168794.7761,4.836281907,12.03643891,-0.19841104,-0.543577682,0,0,0,0
FinanceInsuranceRealEstate,Federal Realty Investment Trust,89,1879803.859,4.48863637,14.446678,-0.546056578,1.866661404,0,0,0,0
FinanceInsuranceRealEstate,Extra Space Storage Inc.,122,246460.0592,4.804021045,12.41495523,-0.230671903,-0.165061368,0,0,0,0
FinanceInsuranceRealEstate,Essex Property Trust Inc,77,522265.3951,4.343805422,13.16593116,-0.690887525,0.585914562,0,0,0,0
FinanceInsuranceRealEstate,E Trade Financial Corp,62,657222.2222,4.127134385,13.39577748,-0.907558562,0.815760883,0,0,0,0
FinanceInsuranceRealEstate,"Digital Realty Trust, Inc.",76,1068471.448,4.33073334,13.88173963,-0.703959607,1.301723037,0,0,0,0
FinanceInsuranceRealEstate,Crown Castle International Corp,87,620423.1111,4.465908119,13.33815696,-0.568784829,0.758140366,0,0,0,0
FinanceInsuranceRealEstate,Citizens Financial Group Inc/RI,155,306022.7273,5.043425117,12.63141465,0.00873217,0.051398055,0,0,0,0
FinanceInsuranceRealEstate,Cigna Corp,279,299000,5.631211782,12.60819885,0.596518835,0.028182257,0,0,0,0
FinanceInsuranceRealEstate,Chubb Ltd,301.4,444806.4516,5.708438286,13.00539453,0.673745339,0.425377931,0,0,0,0
FinanceInsuranceRealEstate,"Cbre Group, Inc.",150,53954.775,5.010635294,10.89590147,-0.024057653,-1.68411512,0,0,0,0
FinanceInsuranceRealEstate,"Cboe Global Markets, Inc.",70,1119910.011,4.248495242,13.92875889,-0.786197705,1.348742298,0,0,0,0
FinanceInsuranceRealEstate,Bb&T Corp,150,290812.4109,5.010635294,12.5804337,-0.024057653,0.000417107,0,0,0,0
FinanceInsuranceRealEstate,Avalonbay Communities Inc,131,529701.7995,4.875197323,13.18006948,-0.159495624,0.60005289,0,0,0,0
FinanceInsuranceRealEstate,"Anthem, Inc.",262,317914.2857,5.568344504,12.66953708,0.533651556,0.089520489,0,0,0,0
FinanceInsuranceRealEstate,Ameriprise Financial Inc,223,925153.8462,5.407171771,13.73771532,0.372478824,1.157698728,0,0,0,0
FinanceInsuranceRealEstate,Allstate Corp,230,329298.163,5.438079309,12.70471889,0.403386362,0.124702295,0,0,0,0
FinanceInsuranceRealEstate,Aflac Inc,300,838133.9459,5.703782475,13.63893321,0.669089527,1.058916612,0,0,0,0
FinanceInsuranceRealEstate,Aetna Inc /PA/,235,331741.3973,5.459585514,12.71211102,0.424892567,0.132094425,0,0,0,0
