Type,Beer,Brewery,Calories,Carbo(g) ,Alcohol(pct)
Domestic,Flying Dog Kerberos Tripel,Flying Dog Brewery,238,8.6,8.3
Domestic,Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,154,10.2,5.5
Domestic,Flying Dog Raging Bitch,Flying Dog Brewery,221,11.6,8.3
Domestic,Flying Dog Road Dog,Flying Dog Brewery,163,9.9,6
Domestic,Flying Dog Snake Dog IPA,Flying Dog Brewery,188,10.0,7.1
Domestic,Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,129,6.2,5.1
Domestic,Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,288,20.2,9.9
Domestic,Flying Dog Woody Creek White,Flying Dog Brewery,131,8.0,4.8
Domestic,Genesee Beer,High Falls Brewing,148,13.5,4.5
Domestic,Genesee Cream Ale,High Falls Brewing,162,15.0,5.1
Domestic,Genesee Ice,High Falls Brewing,156,14.5,5.9
Domestic,Genesee Red,High Falls Brewing,148,14.0,4.9
Domestic,George Killians Irish Red,MillerCoors,162,14.8,5
Domestic,Icehouse,MillerCoors,132,8.7,5.5
Domestic,Icehouse 5.0,MillerCoors,149,9.8,5.5
Domestic,Icehouse Light,MillerCoors,103,5.5,4.1
Domestic,Hamms Beer,MillerCoors,144,12.1,4.7
Domestic,Hamms Golden Draft,MillerCoors,144,12.1,4.7
Domestic,Hamms Special Light,MillerCoors,110,8.3,3.9
Domestic,Keystone Premium,Adolph Coors,111,5.8,4.4
Domestic,Keystone Light,Adolph Coors,103,5.0,4.1
Domestic,Keystone Ice,Adolph Coors,142,5.9,5.9
Domestic,Leinenkugel Honey Weiss,Leinenkugel,149,12.0,4.9
Domestic,Leinenkugel Northwoods Lager,Leinenkugel,163,15.3,4.9
Domestic,Leinenkugel Original,Leinenkugel,152,13.9,4.7
Domestic,Leinenkugel Creamy Dark,Leinenkugel,170,16.8,4.9
Domestic,Leinenkugel Red,Leinenkugel,166,16.2,4.9
Domestic,Leinenkugel Sunset Wheat,Leinenkugel,165,16.0,4.9
Domestic,Leinenkugel Light,Leinenkugel,105,5.7,4.2
Domestic,Leinenkugel Amber Light,Leinenkugel,110,7.4,4.1
Domestic,Magnum Malt Liquor,MillerCoors,157,11.2,5.6
Domestic,Michael Sheas,High Falls Brewing,145,13.0,4.6
Domestic,Michelob Amber Boch,Anheuser Busch,166,15.0,5.2
Domestic,Michelob Beer,Anheuser Busch,155,13.3,5
Domestic,Michelob Golden Draft,Anheuser Busch,152,14.1,4.7
Domestic,Michelob Golden Draft Light,Anheuser Busch,110,7.0,4.1
Domestic,Michelob Honey Lager,Anheuser Busch,175,17.9,4.9
Domestic,Michelob Light,Anheuser Busch,113,6.7,4.3
Domestic,Michelob Ultra,Anheuser Busch,95,2.6,4.1
Domestic,Mickeys Fine Malt Liquor,MillerCoors,157,11.2,5.6
Domestic,Mickeys Ice,MillerCoors,157,11.8,5.8
Domestic,Miller Chill,MillerCoors,110,6.5,4.2
Domestic,Miller Genuine Draft,MillerCoors,143,13.1,4.7
Domestic,Miller Genuine Draft Light,MillerCoors,110,7.0,4.2
Domestic,Miller Genuine Draft “64”,MillerCoors,64,2.4,2.8
Domestic,Miller High Life,MillerCoors,143,13.1,4.7
Domestic,Miller High Life Light,MillerCoors,110,7.0,4.2
Domestic,Miller Lite,MillerCoors,96,3.2,4.2
Domestic,Milwaukees Best,MillerCoors,128,11.4,4.3
Domestic,Miller Lite Brewers Collection Amber,MillerCoors,110,6.2,4.2
Domestic,Miller Lite Brewers Collection Blonde,MillerCoors,110,6.2,4.2
Domestic,Miller Lite Brewers Collection Wheat,MillerCoors,110,6.2,4.2
Domestic,Milwaukees Best Premium,MillerCoors,128,11.4,4.3
Domestic,Milwaukees Best Light,MillerCoors,98,3.5,4.2
Domestic,Milwaukees Best Ice,MillerCoors,144,7.3,5.9
Domestic,New Belgium 1554,New Belgium,205,25.0,5.6
Domestic,New Belgium 2 Below,New Belgium,200,17.0,6.6
Domestic,New Belgium Abbey,New Belgium,200,18.0,7
Domestic,New Belgium Blue Paddle,New Belgium,140,14.0,4.8
Domestic,New Belgium Fat Tire,New Belgium,160,15.0,5.2
Domestic,New Belgium Mothership Wit,New Belgium,155,15.0,4.8
Domestic,New Belgium Trippel,New Belgium,215,20.0,7.8
Domestic,New Belgium Sunshine Wheat,New Belgium,145,13.0,4.8
Domestic,ODouls,Anheuser Busch,70,13.3,0.4
Domestic,Old Milwaukee Light,Old Milwaukee,114,8.3,3.8
Domestic,Old Milwaukee Beer,Old Milwaukee,146,12.9,4.5
Domestic,Olde English 800,MillerCoors,160,10.5,5.9
Domestic,Olde English 800 7.5,MillerCoors,202,13.4,7.5
Domestic,Olde English High Gravity 800,MillerCoors,220,14.6,8
Domestic,Olympia Premium Lager,Pabst,146,11.9,4.7
Domestic,Pabst Blue Ribbon,Pabst,144,12.0,4.7
Domestic,Petes Wicked Ale,,174,17.7,5.3
Domestic,Red Dog,MillerCoors,147,14.1,5
Domestic,Red Hook ESB,Red Hook,179,14.2,5.8
Domestic,Red Hook IPA,Red Hook,188,12.7,6.5
Domestic,Rolling Rock Premium Beer,Latrobe,120,10.0,4.5
Domestic,Sam Adams Boston Lager,Boston Beer,160,18.0,4.8
Domestic,Sam Adams Boston Ale,Boston Beer,160,19.9,4.9
Domestic,Sam Adams Cherry Wheat,Boston Beer,166,16.9,5.2
Domestic,Sam Adams Cream Stout,Boston Beer,195,23.9,4.7
Domestic,Sam Adams Light,Boston Beer,119,9.6,4.1
Domestic,Schaefer Beer,Pabst,142,12.0,4.6
Domestic,Schlitz Beer,Pabst,146,12.1,4.7
Domestic,Sierra Nevada Anniversary Ale,Sierra Nevada,190,17.3,5.9
Domestic,Sierra Nevada Bigfoot,Sierra Nevada,330,32.1,9.6
Domestic,Sierra Nevada Celebration Ale,Sierra Nevada,214,19.4,6.8
Domestic,Sierra Nevada Draft Ale,Sierra Nevada,157,13.4,5
Domestic,Sierra Nevada Early Spring Beer,Sierra Nevada,190,16.7,5.9
Domestic,Sierra Nevada Harvest Ale,Sierra Nevada,215,19.3,6.7
Domestic,Sierra Nevada India Pale Ale,Sierra Nevada,231,20.0,6.9
Domestic,Sierra Nevada Pale Ale,Sierra Nevada,175,14.1,5.6
Domestic,Sierra Nevada Pale Bock,Sierra Nevada,218,19.7,7
Domestic,Sierra Nevada Porter,Sierra Nevada,194,18.4,5.6
Domestic,Sierra Nevada Stout,Sierra Nevada,225,22.3,5.8
Domestic,Sierra Nevada Summerfest Beer,Sierra Nevada,158,13.7,5
Domestic,Sierra Nevada Wheat Beer,Sierra Nevada,153,13.1,4.4
Domestic,Southpaw Light,MillerCoors,123,6.6,5
Domestic,Steel Reserve,MillerCoors,222,16.0,8.1
Domestic,Steel Reserve Triple Export,MillerCoors,222,16.0,8.1
Domestic,Steel Reserve Six,MillerCoors,160,11.0,6
Domestic,Strohs Beer,Strohs,149,12.0,4.6
Domestic,Strohs Light,Strohs,113,7.0,4.4
Domestic,Summit Horizon Red IPA,Summit Brewing,195,15.0,5.7
Domestic,Summit Summer Ale,Summit Brewing,147,12.0,4.5
Domestic,Weinhards Private Reserve,MillerCoors,150,9.9,4.8
Domestic,Weinhards Amber Light,MillerCoors,135,11.5,4.2
Domestic,Weinhards Hefeweizen,MillerCoors,151,12.2,4.9
Domestic,Weinhards Blonde Lager,MillerCoors,161,14.0,5.1
Domestic,Weinhards Pale Ale,MillerCoors,147,13.0,4.6
Domestic,Yuengling Ale,D.G. Yuengilng,145,10.0,5
Domestic,Yuengling Porter,D.G. Yuengilng,150,14.0,4.5
Domestic,Yuengling Premium Beer,D.G. Yuengling,135,12.0,4.4
Domestic,Yuengling Light,D.G. Yuengling,98,6.6,3.8
Domestic,Yuengling Lager,D.G. Yuengling,135,12.0,4.4
Imported,Amstel,Amstel Brouwerij B.V. (Holland),,10.7,
Imported,Amstel Light,Amstel Brouwerij B.V. (Holland),99,5.3,3.9
Imported,Asahi Draft Beer,Asahi (Japan),146,,5
Imported,Bass & Cos Pale Ale,Bass (England),160,,5.5
Imported,Beamish Irish Cream Stout,Beamish - Crawford (Ireland),146,,4.9
Imported,Becks Beer,Brauerei Beck (Germany),143,10.0,5
Imported,Becks Light,Brauerei Beck (Germany),64,3.9,2.3
Imported,Becks Dark,Brauerei Beck (Germany),146,11.0,4.8
Imported,Carlsburg,,,7.8,0
Imported,Carlsburg Light,,,9.9,0
Imported,Cerveza Carta Blanca,Cerveceria Cauhtemoc (Mexico),128,,4
Imported,Cerveza Tecate Beer,Cervecerla Cauhtemoc (Mexico),146,,4.4
Imported,Chester Golden A]e,Greenall Whitley (England),156,,5.4
Imported,Coopers Draught,Coopers,,7.0,0
Imported,Coopers Stout,,,10.9,0
Imported,Coopers Pale Ale,,,5.9,0
Imported,Corona Extra Beer,Cereveria Modela SA (Mexico),148,14.0,4.6
Imported,Corona Light,Cereveria Modela SA (Mexico),,5.0,0
Imported,Dos Equis XX Imported Beer,Cauhtemoc (Mexico),149,,4.7
Imported,Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),156,,4.9
Imported,Dragon Stout,Desnoes - Goeddes (Jamaica),220,,6.8
Imported,Fosters Lager,Garlton & United (Australia),156,11.0,5.1
Imported,Furstenberg German Beer,Fustlich Ferstenbergische,138,,4.4
Imported,Great Wall,Green Bamboo (China),160,,4.6
Imported,Greenalls Cheshire English Pub Beer,Greenall Whitley PLC (England),142,,5
Imported,Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),145,9.5,5
Imported,Guinness Extra Stout,Guinness (Ireland),153,17.4,4.3
Imported,Harp,Harp (Ireland),142,,4.6
Imported,Heineken Lager Beer,Heineken (Holland),150,11.5,5
Imported,Heineken Special Dark Beer,Heineken (Holland),170,,5.1
Imported,Heineken Special Light,Heineken (Holland),99,6.8,3.8
Imported,Kirin Beer,Kirin (Japan),188,,6.8
Imported,Kronenbourg Beer,Kronenbourg (France),153,,5.1
Imported,Kronenbourg Imported Dark Beer,Kronenbourg (France),163,,5
Imported,Labatts 50,Labatts,153,9.9,5.3
Imported,McEwans Scotch Ale,Scottish & Newcastle (Scotland),295,,9.5
Imported,Molson Canadian Beer,Molson (Canada),153,,5.1
Imported,Molson Golden Beer,Molson (Canada),170,,6
Imported,Molson Light,Molson (Canada),82,,2.4
Imported,Moosehead Canadian Lager Beer,Moosehead (Canada),153,,5
Imported,Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),110,,4.7
Imported,OKeefe Canadian Beer,OKeefe (Canada),142,,4.9
Imported,Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),160,14.7,4.2
Imported,Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),153,,5
Imported,Samuel Smiths Organic Lager,Samuel Smiths Brewery,158,13.3,5
Imported,Sheaf Stout,Carlton & United (Australia),174,18.8,5.2
Imported,Sol Cerveza Especial,Cerveceria Montezuma (Mexico),131,,4.1
Imported,Spaten Munich Special Dark Beer,Spaten-Brau (Germany),185,,6.6
Imported,Stella Artois,,,12.8,5.2
Imported,St. Pauli Girl Beer,St. Pauli (Germany),148,8.7,4.9
Imported,St. Pauli Girl Dark Beer,St. Pauli (Germany),150,,4.8
Imported,Suntory Draft Beer,Suntory (Japan),138,,4.6
Imported,Superior Imported Beer,Cerveceria Moctezuma (Mexico),153,,4.3
Imported,Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),128,,4.2
Imported,Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),160,,6.8
Imported,Thos Cooper & Sons Stout,Cooper & Sons (Australia),205,,7.1
Imported,Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),146,,4.9
Imported,Tsingtao Beer,Tsingtao (China),153,,4.8
Imported,Watneys Red Barrel Beer,Stag (England),142,,3.9
Imported,Wurzburger Hofbrau,Wurtzburger Hofbrauag (Germany),160,,5.4
Imported,Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),153,,5.4
